bladelen,petiole,bladewid,arch
33.88,1.402632,13.65,0
33.32,1.01626,10.26,0
29.35,2.392025,12.21,0
26.87,0.808787,8.7,0
26.67,0.802767,8.41,0
24.23,1.490145,7.7,0
23.85,1.09233,5.69,0
23.3,1.9106,8.41,0
23.11,1.881154,7.95,0
23.08,0.976284,6.98,0
22.14,3.015468,8.01,0
21.57,2.622912,8.67,0
21.3,1.46118,6.59,0
20.97,1.360953,6.73,0
20.82,0.88485,6.71,0
20.48,0.970752,6.06,0
20.42,1.223158,8.48,0
20.41,0.957229,6.24,0
20.37,0.996093,5.07,0
20.13,1.344684,6.73,0
20.04,1.178352,5.01,0
19.37,1.586403,6.62,0
19.34,1.088842,6.57,0
19.3,1.32784,7.18,0
19.21,0.851003,6.89,0
19.02,0.886332,7.44,0
18.56,0.950272,6.22,0
18.34,0.673078,5.6,0
18.19,0.616641,9.28,0
18.17,0.368851,8.32,0
18.07,0.719186,6.18,0
17.6,0.62656,5.43,0
17.51,1.591659,5.85,0
17.26,0.573032,4.5,0
17.26,0.916506,6.3,0
17.22,0.609588,5.67,0
17.02,0.745476,5.6,0
16.8,1.32384,5.93,0
16.06,1.231802,6.07,0
15.94,0.543554,6.6,0
15.92,0.603368,6.21,0
15.58,0.49856,4.54,0
15.46,0.759086,5.51,0
15.02,0.787048,4.62,0
14.92,0.971292,4.43,0
14.54,0.657208,5.01,0
14.08,0.188672,5.37,0
13.75,0.55275,5.19,0
13.74,0.987906,5.94,0
13.59,0.354699,5.62,0
13.27,0.759044,5.13,0
13.07,0.713622,5.52,0
13.02,0.576786,4.85,0
13.02,0.171864,4.7,0
12.99,1.982274,5.26,0
12.87,0.719433,4.97,0
12.65,0.66286,5.18,0
12.28,0.381908,5.51,0
12.03,0.479997,2.33,0
11,0.4235,3.79,0
10.4,0.85904,3.52,0
10.02,0.3507,3.23,0
9.81,0.36,2.82,0
8.42,0.22734,2.53,0
2.28,0.112632,1.25,0
43.4,3.37652,10.94,1
41.39,5.542121,17.75,1
33.35,3.231615,12.27,1
29.34,3.2274,10.05,1
29.25,4.431375,10.42,1
28.48,4.93,7.42,1
27.38,22.16,26.41,1
26.6,1.25552,7.25,1
24.88,3.301576,7.75,1
24.8,3.867,9.15,1
23.75,2.50325,7.14,1
22.05,4.588605,8.61,1
20.36,2.691592,6.08,1
19.88,3.21062,6.08,1
19.35,3.043755,6.96,1
6.74,0.219724,2.48,0
7.7,0.38962,3.14,0
7.97,0.28692,2.63,0
8.82,0.380142,3.78,0
9.44,0.435184,3.95,0
9.92,0.29264,4.11,0
11.23,0.522195,4.11,0
11.26,0.5067,5.22,0
11.29,0.291282,4.17,0
12.12,0.566004,4.03,0
12.26,0.605644,5.45,0
12.33,0.490734,3.72,0
12.92,0.576232,3.81,0
13,0.3107,3.65,0
13.56,0.973608,4.15,0
14.57,0.884399,4.88,0
14.58,1.256796,5.85,0
14.6,0.87016,6.18,0
15.12,0.511056,6.42,0
15.2,0.42712,6.13,0
15.67,1.090632,6.25,0
16.18,0.608368,4.05,0
16.62,0.300822,5.8,0
16.71,1.567398,4.37,0
17.1,0.53865,4.85,0
17.63,1.650168,4.8,0
17.69,1.075552,6.28,0
18.7,1.04159,7.13,0
19.1,2.27672,8.32,0
19.29,1.323294,7.08,0
19.99,1.747126,6.65,0
20.25,1.221075,7.27,0
20.87,0.884888,8.21,0
21.16,0.509956,7.13,0
26.99,1.3495,10.34,0
28.94,1.276254,8.43,0
45.23,3.523417,16.67,0
45.89,51.08,43.58,1
20.92,12.924376,15.09,1
22.87,11.146838,14.81,1
25.94,11.405818,16.56,1
14.24,5.707392,7.22,1
16.25,4.25425,5.64,1
49.3,9.71703,26.25,1
24.18,2.463942,10.8,1
14.58,1.433214,4.5,1
49.45,4.831265,11.54,1
13.8,1.31652,6.58,1
14.03,1.224819,5.4,1
25.8,1.91952,7.12,1
14.79,0.93177,3.37,1
28.94,1.72193,8.84,1
18.35,0.78905,6.99,1
11.67,0.394446,4.67,1
13.11,0.291042,4.68,1
7.77,0.477855,3.31,0
10.31,0.282494,2.62,0
11.28,1.046784,4.7,0
11.67,0.532152,2.82,0
13.38,0.587382,3.75,0
14.1,0.37647,4.92,0
14.1,0.56118,5.59,0
14.18,0.727434,5.3,0
15.01,1.341894,5.81,0
16.1,0.85652,5.77,0
16.56,0.622656,4.78,0
16.59,0.642033,6.29,0
16.86,1.712976,4.62,0
17.01,1.558116,7.97,0
17.86,0.510796,6.18,0
18.01,1.6209,8.05,0
18.1,1.08962,6.57,0
18.71,0.974791,5.58,0
18.75,0.755625,5.96,0
19.74,2.49711,7.33,0
20.1,0.74772,6.31,0
20.16,1.06848,8.14,0
20.32,2.283968,10.01,0
20.35,2.79202,10.29,0
20.42,1.06184,4.79,0
22.67,1.274054,7.49,0
22.9,1.33049,9,0
23.8,0.7021,8.37,0
23.87,1.281819,9.34,0
24.7,2.01058,10.59,0
26.4,0.90816,8.56,0
28.12,1.16698,7.31,0
30.06,1.569132,9.02,0
28.37,6.769082,15.84,0
17.33,3.398413,7.2,1
17.68,1.462136,5.42,1
18,1.008,4.12,1
19.21,12.234849,9.34,1
20.18,1.951406,10.13,1
21.02,2.825088,7.24,1
22.44,8.590032,13.09,1
26.87,12.65577,13.59,1
30.8,2.4024,10.14,1
31.95,24.93,36.62,1
32.84,5.45144,11,1
33.29,2.86294,10.54,1
38.22,2.633358,15.72,1
46.6,48.88,46.17,1
46.94,3.374986,15.8,1
72.3,2.39313,20.6,1
6.93,0.449064,3.1,0
7.27,0.26172,2.5,0
7.43,0.766033,2.98,0
8,0.5928,3.06,0
8.08,0.4929,3.03,0
8.48,0.819168,4.33,0
8.56,0.598344,4.82,0
8.72,0.5901,4.88,0
9.153333,0.520824648,3.01,0
9.353333,0.893243302,4.04,0
9.48,0.239844,3.24,0
9.56,0.65964,2.84,0
10.06,1.259512,3.37,0
10.06,0.602594,3.79,0
10.11,0.7446015,3.72,0
10.37,0.281,3.48,0
10.44,0.489636,3.99,0
10.5,0.09975,3.33,0
10.55,1.00014,5.16,0
10.87,0.84786,4.01,0
11.22,1.104048,4.65,0
11.66,0.871,3.62,0
11.86,0.856292,4.33,0
12.23,0.386468,4.11,0
12.84,0.889812,4.36,0
12.9,0.2709,4.18,0
12.96,0.415368,4.03,0
13.03,0.28763725,3.29,0
13.4,1.47802,5.59,0
13.413333,0.854871952,4.34,0
13.59,0.9696465,5.64,0
14.36,0.548552,4.26,0
14.4,0.45072,3.975,0
14.6,1.04828,3.05,0
14.9,0.93125,4.57,0
16.49,1.205419,7.61,0
16.67,0.698473,5.68,0
17.04,1.159572,6.86,0
19.89,1.1795,7.81,0
24.43,1.2044,6.96,0
30.35,1.6586275,6.78,0
13.98,1.50984,3.9,1
14.45,2.88422,5.72,1
15.25,0.840275,3,1
15.3,1.87425,5.88,1
15.348,1.8049248,4.84,1
15.46,1.842832,5.85,1
15.56,1.039408,4.72,1
17,0.4148,7.22,1
17.8,1.55572,5.28,1
17.97,3.5212215,6.15,1
18.76,1.876,7.19,1
19.68,6.5928,8.16,1
20.98,3.268684,6.58,1
22.215,10.4743725,11.46,1
22.64,0.875036,3.8,1
25.275,3.634545,6.85,1
26.55,2.6350875,5.92,1
26.9925,3.83563425,8.53,1
35.843333,3.799393298,9.51,1
42.275,1.49442125,23.45,1
0.8555,0.069167175,0.545,0
2.08,0.129376,0.793,0
6.22,0.43229,3.2,0
6.9,0.24978,2.86,0
7.16,0.3401,3.26,0
8.03,0.662475,4.02,0
8.16,0.536928,3.33,0
8.41,0.278371,2.66,0
9.66,0.681996,3.44,0
11.075,1.039,4.48,0
11.39,0.750601,4.69,0
11.46,0.599358,3.42,0
11.92,0.723544,5.08,0
4.24,0.31588,1.54,1
7.22,0.889504,2.93,1
8.23,0.284758,3.05,1
9.54,0.99693,4,1
9.7,0.77503,2.93,1
10.01,0.906906,3.31,1
10.8,0.95094,3.57,1
11.46,3.050652,5.04,1
11.87,5.788999,6.68,1
11.94,0.527748,3.05,1
12.38,0.66397654,3.36,1
12.6,0.72702,4.04,1
12.68,0.904718,3.28,1
13.84,1.201312,4.3,1
16.92,0.658188,3.47,1
21.9,21.35,23.65,1
29.5,0.8555,20,1
36.52,30.18,30.57,1
1.149429,0.158587869,0.89,0
6.033333,0.481659073,2.75,0
3.794286,0.488867191,1.51,1
4.9505,0.60445605,2.13,1
16.646667,1.407192702,3.73,1
4.128,0.39653568,1.16,1
12.9,1.15197,2.55,1
1.121333,0.134260564,0.415,1
1.475,0.092925,0.145,1
